idx,gnn_in_dim,gnn_hidden_dim,gnn_out_dim,gnn_num_layers,mlp_in_dim,mlp_hidden_dim,mlp_out_dim,mlp_num_layers,gnn_p_in,gnn_p_hidden,gnn_p_out,mlp_p_in,mlp_p_hidden,mlp_p_out,conv,gnn_skip_connections,median_nodes,median_edges,median_degree,runtime_synth,bram,dsp,build_idx,vitis_tool_runtime,latency_pred,bram_pred,sklearn_latency_infrence_time,sklearn_bram_infrence_time
100174,11,128,64,4,192,64,19,1,1,8,2,4,4,1,gin,False,12,24,1,0.00019956357,582,377,100174,614.75,210.72110962499625,593.937261904762,0.001876334111111111,0.0022188894444444443
100634,11,128,64,4,192,128,19,3,1,4,2,4,8,1,gin,False,12,24,1,0.0002790639899999,484,273,100634,761.64,290.2590396963889,475.3359848484849,0.0017880746666666667,0.0017969087777777778
100825,11,128,64,4,192,256,19,1,1,8,2,8,4,1,gin,False,12,24,1,0.00021064581,636,393,100825,700.78,210.72110962499625,640.0755952380953,0.001799517888888889,0.0017749804444444446
102021,11,128,128,1,384,256,19,4,1,4,4,8,2,1,gin,True,12,24,1,0.00036801828,359,44,102021,292.0,329.6378103515724,355.1166666666667,0.0017864676666666667,0.001779629888888889
103793,11,128,128,2,384,256,19,2,1,4,2,4,8,1,gin,True,12,24,1,0.00024546096,377,143,103793,481.82,250.41376220735128,379.6483333333333,0.0017659633333333333,0.0017490745555555555
103830,11,128,128,2,384,256,19,2,1,8,4,8,2,1,gin,True,12,24,1,0.00023798178,419,137,103830,440.0,252.99383480599235,385.5505555555555,0.001739967111111111,0.0017442265555555555
104079,11,128,128,2,384,64,19,1,1,8,8,4,2,1,gin,False,12,24,1,0.00014629023,311,157,104079,351.52,157.6204005793964,314.99333333333334,0.0017361857777777778,0.001735958888888889
104519,11,128,128,2,384,128,19,3,1,4,2,2,8,1,gin,False,12,24,1,0.00024028947,385,191,104519,417.78,237.2151981428477,383.65666666666664,0.001741508,0.0017350997777777777
105742,11,128,128,3,384,256,19,2,1,4,4,2,4,1,gin,True,12,24,1,0.0003009987,383,108,105742,574.68,307.2304014414948,373.12645909645914,0.001734632888888889,0.0017328526666666668
105901,11,128,128,3,384,256,19,4,1,4,2,8,4,1,gin,True,12,24,1,0.00034413552,575,156,105901,640.9,323.025112162072,491.61626984126985,0.0017369872222222223,0.0017336576666666667
106536,11,128,128,3,384,128,19,4,1,2,8,4,2,1,gin,False,12,24,1,0.0005373154799999,339,64,106536,494.69,537.3061520356779,353.66738095238094,0.0017339436666666667,0.0017333062222222222
106647,11,128,128,3,384,256,19,1,1,4,8,8,2,1,gin,False,12,24,1,0.00026266707,395,114,106647,406.71,274.97787989864196,385.6436507936508,0.001737613111111111,0.001731365
107205,11,128,128,4,384,64,19,4,1,4,4,8,2,1,gin,True,12,24,1,0.000300699,357,143,107205,587.8,308.1653479120803,360.3514069264069,0.001734688111111111,0.0017299176666666668
107864,11,128,128,4,384,256,19,4,1,4,8,8,8,1,gin,True,12,24,1,0.0003061935,691,393,107864,778.66,293.87628221687714,690.7416666666666,0.001734512,0.0017423576666666667
108649,11,128,128,4,384,256,19,2,1,4,2,2,4,1,gin,False,12,24,1,0.0003784878,439,133,108649,701.25,337.05867139284624,381.6772527472528,0.0017364013333333332,0.0017301532222222223
108970,11,128,256,1,768,64,19,2,1,2,8,8,4,1,gin,True,12,24,1,0.00017027289,215,70,108970,290.14,151.39544375,220.52142857142857,0.0017350895555555555,0.0017339867777777778
110402,11,128,256,1,768,128,19,3,1,8,8,8,8,1,gin,False,12,24,1,0.00017590392,417,218,110402,301.84,194.91243412499352,411.1833333333334,0.001741285111111111,0.0017318063333333332
111948,11,128,256,2,768,64,19,3,1,2,2,8,2,1,gin,False,12,24,1,0.00050087862,247,47,111948,352.91,444.3983096249811,274.53215658610395,0.0017296003333333333,0.0017358706666666668
112827,11,128,256,3,768,64,19,1,1,8,8,4,2,1,gin,True,12,24,1,0.00021251727,525,286,112827,494.02,222.09809352939118,533.4582936507936,0.001739126111111111,0.0017308687777777777
