idx,gnn_in_dim,gnn_hidden_dim,gnn_out_dim,gnn_num_layers,mlp_in_dim,mlp_hidden_dim,mlp_out_dim,mlp_num_layers,gnn_p_in,gnn_p_hidden,gnn_p_out,mlp_p_in,mlp_p_hidden,mlp_p_out,conv,gnn_skip_connections,median_nodes,median_edges,median_degree,runtime_synth,bram,dsp
100174,11,128,64,4,192,64,19,1,1,8,2,4,4,1,gin,False,12,24,1,0.00019956357,582,377
100634,11,128,64,4,192,128,19,3,1,4,2,4,8,1,gin,False,12,24,1,0.00027906398999999997,484,273
100825,11,128,64,4,192,256,19,1,1,8,2,8,4,1,gin,False,12,24,1,0.00021064581,636,393
102021,11,128,128,1,384,256,19,4,1,4,4,8,2,1,gin,True,12,24,1,0.00036801828000000003,359,44
103793,11,128,128,2,384,256,19,2,1,4,2,4,8,1,gin,True,12,24,1,0.00024546096,377,143
103830,11,128,128,2,384,256,19,2,1,8,4,8,2,1,gin,True,12,24,1,0.00023798178,419,137
104079,11,128,128,2,384,64,19,1,1,8,8,4,2,1,gin,False,12,24,1,0.00014629023,311,157
104519,11,128,128,2,384,128,19,3,1,4,2,2,8,1,gin,False,12,24,1,0.00024028947,385,191
105742,11,128,128,3,384,256,19,2,1,4,4,2,4,1,gin,True,12,24,1,0.0003009987,383,108
105901,11,128,128,3,384,256,19,4,1,4,2,8,4,1,gin,True,12,24,1,0.00034413552,575,156
106536,11,128,128,3,384,128,19,4,1,2,8,4,2,1,gin,False,12,24,1,0.0005373154799999999,339,64
106647,11,128,128,3,384,256,19,1,1,4,8,8,2,1,gin,False,12,24,1,0.00026266707,395,114
107205,11,128,128,4,384,64,19,4,1,4,4,8,2,1,gin,True,12,24,1,0.000300699,357,143
107864,11,128,128,4,384,256,19,4,1,4,8,8,8,1,gin,True,12,24,1,0.0003061935,691,393
108649,11,128,128,4,384,256,19,2,1,4,2,2,4,1,gin,False,12,24,1,0.0003784878,439,133
108970,11,128,256,1,768,64,19,2,1,2,8,8,4,1,gin,True,12,24,1,0.00017027289,215,70
110402,11,128,256,1,768,128,19,3,1,8,8,8,8,1,gin,False,12,24,1,0.00017590392000000002,417,218
111948,11,128,256,2,768,64,19,3,1,2,2,8,2,1,gin,False,12,24,1,0.00050087862,247,47
112827,11,128,256,3,768,64,19,1,1,8,8,4,2,1,gin,True,12,24,1,0.00021251727000000002,525,286
113190,11,128,256,3,768,128,19,2,1,4,2,8,2,1,gin,True,12,24,1,0.00040060233,405,94
11343,11,64,128,2,384,256,19,1,1,2,2,4,2,1,gcn,False,12,24,1,0.00024434541,204,105
113903,11,128,256,3,768,64,19,3,1,2,4,8,8,1,gin,False,12,24,1,0.00049321296,439,234
114526,11,128,256,3,768,256,19,2,1,8,8,2,4,1,gin,False,12,24,1,0.00029921382,601,304
11453,11,64,128,2,384,256,19,2,1,4,2,4,8,1,gcn,False,12,24,1,0.00016315001999999998,348,205
114700,11,128,256,4,768,64,19,1,1,2,2,4,4,1,gin,True,12,24,1,0.00071902359,335,59
115415,11,128,256,4,768,256,19,1,1,8,4,8,8,1,gin,True,12,24,1,0.0002682315,873,445
115584,11,128,256,4,768,256,19,3,1,8,8,8,2,1,gin,True,12,24,1,0.0004054275,859,431
115778,11,128,256,4,768,64,19,2,1,4,2,2,8,1,gin,False,12,24,1,0.00041130162,461,193
115898,11,128,256,4,768,64,19,3,1,8,4,4,8,1,gin,False,12,24,1,0.00026064908999999997,815,541
116236,11,128,256,4,768,128,19,4,1,2,2,2,4,1,gin,False,12,24,1,0.00077137452,397,99
116967,11,256,64,1,192,128,19,1,1,2,2,4,2,1,gin,True,12,24,1,0.00015176475,126,22
118012,11,256,64,1,192,128,19,1,1,8,8,4,4,1,gin,False,12,24,1,9.981009e-05,138,38
11944,11,64,128,3,384,64,19,4,1,4,4,2,4,1,gcn,True,12,24,1,0.00014380272,283,252
123470,11,256,64,4,192,64,19,1,1,2,8,8,8,1,gin,False,12,24,1,0.00107613945,394,123
1236,11,64,64,1,192,64,19,4,1,2,8,4,2,1,gcn,False,12,24,1,7.170156e-05,132,52
